Estado,NaoTerminal,Follow,QtdSimbolos
0,P',$,0
1,,,
2,P,$,1
3,P,$,2
4,V,leia escreva id se repita fim,1
5,,,
6,LV,leia escreva id se repita fim ,1
7,,,
8,D,varfim,1
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,L,pt_v,2
18,,,
19,,,1
20,A,$,1
21,A,$,1
22,A,$,1
23,A,$,1
24,,,
25,,,
26,ES,leia escreva id se repita fim fimrepita,1
27,,,
28,COND,leia escreva id se repita fim fimse fimrepita,1
29,R,leia escreva id se repita fim,1
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,CMD,leia escreva id se repita fim fimse fimrepita,2
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,CP,leia escreva id se repita fim fimse fimrepita,1
53,CP,leia escreva id se repita fim fimse fimrepita,1
54,CP,leia escreva id se repita fim fimse fimrepita,1
55,,,
56,,,
57,,,
58,,,
59,,,
60,CPR,leia escreva id se repita fim,1
61,CPR,leia escreva id se repita fim,1
62,CPR,leia escreva id se repita fim,1
63,,,
64,,,
65,,,
66,,,
67,CAB,leia escreva id se fimse,2
68,CABR,leia escreva id se fimrepita,2
69,,,
70,,,
71,,,
72,,,
73,EXP_R,fc_p,2
74,,,
75,,,
76,,,
