Estado,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,atr,opm,se,entao,opr,fimse,repita,ab_p,fc_p,fimrepita,fim,$
0,S2,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,aceita
2,,S4,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,S27,,,,,S25,S26,,,,,S30,,,,S31,,,,S24,
4,,,S7,,,,S9,S10,S11,,,,,,,,,,,,,,,,
5,,,,,R3,,,,,R3,R3,,,,,R3,,,,R3,,,,R3,
6,,,S7,,,,S9,S10,S11,,,,,,,,,,,,,,,,
7,,,,S13,,,,,,,,,,,,,,,,,,,,,
8,,,,,S15,,,,,,,,,,,,,,,,,,,,
9,,,,,R9,,,,,,,,,,,,,,,,,,,,
10,,,,,R10,,,,,,,,,,,,,,,,,,,,
11,,,,,R11,,,,,,,,,,,,,,,,,,,,
12,,,,,R4,,,,,R4,R4,,,,,R4,,,,R4,,,,R4,
13,,,,,R5,,,,,R5,R5,,,,,R5,,,,R5,,,,R5,
14,,,,S16,,,,,,,,,,,,,,,,,,,,,
15,,,,R8,,S17,E8,E8,E8,,,,,,,,,,,,,,,,
16,,,R6,,,,R6,R6,R6,,,,,,,,,,,,,,,,
17,,,,,S15,,,,,,,,,,,,,,,,,,,,
18,,,,R7,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,R2
20,,,,,S27,,,,,S25,S26,,,,,S30,,,,S31,,,,S24,
21,,,,,S27,,,,,S25,S26,,,,,S30,,,,S31,,,,S24,
22,,,,,S27,,,,,S25,S26,,,,,S30,,,,S31,,,,S24,
23,,,,,S27,,,,,S25,S26,,,,,S30,,,,S31,,,,S24,
24,,,,,,,,,,,,,,,,,,,,,,,,,R39
25,,,,,S36,,,,,,,,,,,,,,,,,,,,
26,,,,,S41,,,,,,,S39,S40,,,,,,,,,,,,
27,,,,,,,,,,,,,,S43,,,,,,,,,,,
28,,,,,S27,,,,,S25,S26,,,,,S30,,,S55,,,,,,
29,,,,,S27,,,,,S25,S26,,,,,S30,,,,,,,S63,,
30,,,,,,,,,,,,,,,,,,,,,S67,,,,
31,,,,,,,,,,,,,,,,,,,,,S68,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,R12
33,,,,,,,,,,,,,,,,,,,,,,,,,R18
34,,,,,,,,,,,,,,,,,,,,,,,,,R24
35,,,,,,,,,,,,,,,,,,,,,,,,,R32
36,,,,S37,,,,,,,,,,,,,,,,,,,,,
37,,,,,R13,,,,,R13,R13,,,,,R13,,,,R13,,,R13,R13,
38,,,,S42,,,,,,,,,,,,,,,,,,,,,
39,,,,R15,,,,,,,,,,,,,,,,,,,,,
40,,,,R16,,,,,,,,,,,,,,,,,,,,,
41,,,,R17,,,,,,,,,,,,,,,,,,,,,
42,,,,,R14,,,,,R14,R14,,,,,R14,,,R14,R14,,,R14,R14,
43,,,,,S47,,,,,,,,S48,,,,,,,,,,,,
44,,,,S49,,,,,,,,,,,,,,,,,,,,,
45,,,,R21,,,,,,,,,,,S50,,,,,,,,,,
46,,,,R20,,,,,,,,,,,,,,,,,,,,,
47,,,,R22,,,,,,,,,,,R22,,,R22,,,,R22,,,
48,,,,R23,,,,,,,,,,,R23,,,R23,,,,R23,,,
49,,,,,R19,,,,,R19,R19,,,,,R19,,,R19,R19,,,R19,R19,
50,,,,,S47,,,,,,,,S48,,,,,,,,,,,,
51,,,,,R25,,,,,R25,R25,,,,,R25,,,R25,R25,,,R25,R25,
52,,,,,S27,,,,,,,,,,,S30,,,S55,,,,,,
53,,,,,,,,,,S25,S26,,,,,S30,,,S55,,,,,,
54,,,,,S27,,,,,S25,S26,,,,,,,,S55,,,,,,
55,,,,,R31,,,,,R31,R31,,,,,R31,,,R31,R31,,,R31,R31,
56,,,,,R28,,,,,R28,R28,,,,,R28,,,R28,R28,,,R28,R28,
57,,,,,R29,,,,,R29,R29,,,,,R29,,,R29,R29,,,R29,R29,
58,,,,,R30,,,,,R30,R30,,,,,R30,,,R30,R30,,,R30,R30,
59,,,,,R33,,,,,R33,R33,,,,,R33,,,,R33,,,,R33,
60,,,,,S27,,,,,,,,,,,S30,,,,,,,S63,,
61,,,,,,,,,,S25,S26,,,,,S30,,,,,,,S63,,
62,,,,,S27,,,,,S25,S26,,,,,,,,,,,,S63,,
63,,,,,R38,,,,,R38,R38,,,,,R38,,,,R38,,,,R38,
64,,,,,R35,,,,,R35,R35,,,,,R35,,,,R35,,,,R35,
65,,,,,R36,,,,,R36,R36,,,,,R36,,,,R36,,,,R36,
66,,,,,R37,,,,,R37,R37,,,,,R37,,,,R37,,,,R37,
67,,,,,S47,,,,,,,,S48,,,,,,,,,,,,
68,,,,,S47,,,,,,,,S48,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,S71,,,
70,,,,,,,,,,,,,,,,,,S73,,,,,,,
71,,,,,,,,,,,,,,,,,S72,,,,,,,,
72,,,,,R26,,,,,R26,R26,,,,,R26,,,R26,,,,,,
73,,,,,S47,,,,,,,,S48,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,R27,,,
75,,,,,,,,,,,,,,,,,,,,,,S76,,,
76,,,,,R34,,,,,R34,R34,,,,,R34,,,R34,,,,,,
77,,,,,,,,,,S25,S26,,,,,S30,,,S55,,,,,,
